decision_step_id,coalition,event_count,incremental_visual_tokens,distance_mean,distance_sum
4,empty,0,0,0.000348740904280566,0.00453363175564736
4,1,1,476,5.51961166930408e-05,0.00071754951700953
4,1+2,2,952,5.33769080798189e-05,0.000693899805037645
4,1+3,2,952,1.26291249454761e-06,1.64178624291189e-05
4,2,1,476,0.000108060246089447,0.00140478319916281
4,2+3,2,952,3.74144216203503e-06,4.86387481064554e-05
4,3,1,476,2.04104913233203e-05,0.000265336387203163
8,empty,0,0,0.109727366694855,3.07236626745593
8,1,1,476,0.0520374571833732,1.45704880113445
8,1+2,2,952,0.0296472923685581,0.830124186319627
8,1+3,2,952,0.0413418259443081,1.15757112644063
8,1+4,2,952,0.041276881359204,1.15575267805771
8,1+5,2,952,0.0357585779369937,1.00124018223582
8,1+6,2,952,0.0296251077544798,0.829503017125435
8,1+7,2,952,0.0172887551971156,0.484085145519237
8,2,1,476,0.0639277427829764,1.78997679792334
8,2+3,2,952,0.0518339382555416,1.45135027115516
8,2+4,2,952,0.049612793382571,1.38915821471199
8,2+5,2,952,0.0549965746305126,1.53990408965435
8,2+6,2,952,0.0535775392296818,1.50017109843109
8,2+7,2,952,0.0371669305132829,1.04067405437192
8,3,1,476,0.0662175113342912,1.85409031736015
8,3+4,2,952,0.0593451205992863,1.66166337678002
8,3+5,2,952,0.0535146103873288,1.49840909084521
8,3+6,2,952,0.0519118869800007,1.45353283544002
8,3+7,2,952,0.0284528101995646,0.796678685587808
8,4,1,476,0.0653333278742855,1.82933318047999
8,4+5,2,952,0.0585814124394544,1.64027954830472
8,4+6,2,952,0.0577353510660187,1.61658982984852
8,4+7,2,952,0.0480706827191296,1.34597911613563
8,5,1,476,0.073849800011735,2.06779440032858
8,5+6,2,952,0.0656344814681222,1.83776548110742
8,5+7,2,952,0.0439093143539131,1.22946080190957
8,6,1,476,0.0908890279627885,2.54489278295808
8,6+7,2,952,0.056268319516816,1.57551294647085
8,7,1,476,0.0733507574064348,2.05382120738018
