task,memory_split,b0_score,b0_success,b1_score,b1_success,b2_score,b2_success,b3_score,b3_success,b4_score,b4_success
MastodonMultiInviteTask,cross_app_memory_candidate,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
MastodonNewFilterTask,cross_app_memory_candidate,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
MastodonNewPostTask,single_app_control,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True
MastodonOpenAutomatedDeletionTask,single_app_control,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
MastodonPinTootsTask,single_app_control,1.0,True,1.0,True,0.0,False,1.0,True,1.0,True
MastodonPostEditedPhotoTask,cross_app_memory_candidate,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
MastodonPostPollTask,cross_app_memory_candidate,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True
MastodonRemoveBookmarkTask,single_app_control,0.0,False,0.0,False,0.0,False,0.0,False,1.0,True
MastodonReplyTask,single_app_control,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
MastodonReportTask,single_app_control,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
MastodonRevisePhotoAltTask,single_app_control,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
MastodonRevisePollTask,single_app_control,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
MastodonSavePhotosTask,cross_app_memory_candidate,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
MastodonServerInfoReportTask,cross_app_memory_candidate,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
MastodonShareLocationTask,cross_app_memory_candidate,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
MastodonUnfollowTask,single_app_control,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
MastodonUpdateContactsTask,cross_app_memory_candidate,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
MattermostBudgetApprovalPipelineTask,single_app_control,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
MattermostCreateChannelTask,single_app_control,1.0,True,1.0,True,1.0,True,0.0,False,0.0,False
MattermostCustomerFeedbackAnalysisTask,cross_app_memory_candidate,0.0,False,0.0,False,1.0,True,0.0,False,0.0,False
MattermostDeadlineReconciliationTask,cross_app_memory_candidate,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
MattermostEmailTask,cross_app_memory_candidate,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
MattermostIncidentEscalationTask,cross_app_memory_candidate,0.0,False,1.0,True,1.0,True,0.0,False,0.0,False
MattermostProjectHandoverTask,cross_app_memory_candidate,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False
